STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/23/17,18.34,",,W",,,1.16,",,W,2400",0,",,W,2400",0,",,W,2400",,,44,",,W",36,",,W",,,33.1,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/24/17,10.07,",,W",,,1.18,",,W,2400",0,"T,,W,2400",0,",,W,2400",,,38,",,W",35,",,W",,,23.9,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/25/17,6.71,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,51,",,W",36,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/26/17,6.71,",,W",,,0.02,",,W,2400",0,",,W,2400",0,",,W,2400",,,56,",,W",43,",,W",,,21,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/27/17,8.95,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",36,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/28/17,7.83,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,39,",,W",34,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/29/17,5.82,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",35,",,W",,,15,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/30/17,6.26,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,37,",,W",30,",,W",,,15,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/31/17,4.03,",,W",,,0.06,",,W,2400",1,",,W,2400",0,",,W,2400",,,34,",,W",26,",,W",,,12.1,",,W",1,",,W",1,",,W",,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/1/17,5.82,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",,,47,",,W",33,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/2/17,5.37,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,45,",,W",32,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/3/17,6.71,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,33,",,W",26,",,W",,,17,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/4/17,8.5,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,34,",,W",22,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/5/17,7.16,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",31,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/6/17,5.14,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,49,",,W",36,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/7/17,6.71,",,W",,,0.27,",,W,2400",0,",,W,2400",0,",,W,2400",,,42,",,W",36,",,W",,,15,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/8/17,4.7,",,W",,,0.03,",,W,2400",0,",,W,2400",0,",,W,2400",,,62,",,W",38,",,W",,,13,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/9/17,12.3,",,W",,,1.16,",,W,2400",9.4,",,W,2400",2,",,W,2400",,,44,",,W",19,",,W",,,23,",,W",1,",,W",1,",,W",,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/10/17,8.5,",,W",,,0,"T,,W,2400",0,"T,,W,2400",7.9,",,W,2400",,,32,",,W",19,",,W",,,16.1,",,W",,,,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/11/17,4.03,",,W",,,0,",,W,2400",0,",,W,2400",5.1,",,W,2400",,,48,",,W",30,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/12/17,7.16,",,W",,,0.46,",,W,2400",0,"T,,W,2400",2,",,W,2400",,,40,",,W",30,",,W",,,17,",,W",1,",,W",,,,,,,1,",,W",,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/13/17,12.3,",,W",,,0.02,",,W,2400",0,",,W,2400",2,",,W,2400",,,39,",,W",31,",,W",,,28,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/14/17,5.37,",,W",,,0,",,W,2400",0,",,W,2400",2,",,W,2400",,,41,",,W",28,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/15/17,6.49,",,W",,,0,"T,,W,2400",0,",,W,2400",0,"T,,W,2400",,,47,",,W",35,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/16/17,10.51,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",,,35,",,W",28,",,W",,,17,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/17/17,8.5,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",,,41,",,W",26,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/18/17,5.82,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,63,",,W",35,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/19/17,5.59,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",53,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/20/17,7.38,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,55,",,W",39,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/21/17,5.82,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,47,",,W",34,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/22/17,2.91,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,57,",,W",42,",,W",,,12.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/23/17,3.58,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",44,",,W",,,13,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/24/17,6.04,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,70,",,W",58,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/25/17,6.71,",,W",,,0.54,",,W,2400",0,",,W,2400",0,",,W,2400",,,63,",,W",44,",,W",,,19.9,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/26/17,8.95,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,44,",,W",36,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/27/17,5.59,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,54,",,W",35,",,W",,,16.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/28/17,4.03,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",47,",,W",,,10.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/1/17,6.04,",,W",,,0.12,",,W,2400",0,",,W,2400",0,",,W,2400",,,70,",,W",54,",,W",,,16.1,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/2/17,11.41,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,64,",,W",35,",,W",,,25.9,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/3/17,8.28,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,39,",,W",24,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/4/17,8.95,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,30,",,W",17,",,W",,,19.9,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/5/17,5.37,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,37,",,W",14,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/6/17,3.36,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,45,",,W",26,",,W",,,10.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/7/17,4.25,",,W",,,0.1,",,W,2400",0,",,W,2400",0,",,W,2400",,,56,",,W",42,",,W",,,13,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/8/17,7.61,",,W",,,0.02,",,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",47,",,W",,,17,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/9/17,8.72,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,61,",,W",47,",,W",,,23,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/10/17,7.61,",,W",,,0.31,",,W,2400",2.1,",,W,2400",0,",,W,2400",,,47,",,W",23,",,W",,,19.9,",,W",1,",,W",1,",,W",,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/11/17,9.62,",,W",,,0,",,W,2400",0,",,W,2400",1.2,",,W,2400",,,29,",,W",17,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/12/17,8.95,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",,,29,",,W",19,",,W",,,17,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/13/17,4.47,",,W",,,0,",,W,2400",0,"T,,W,2400",0,",,W,2400",,,36,",,W",20,",,W",,,14.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/14/17,13.42,",,W",,,1.97,",,W,2400",7.6,",,W,2400",3.9,",,W,2400",,,32,",,W",21,",,W",,,28,",,W",1,",,W",1,",,W",,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/15/17,11.63,",,W",,,0,",,W,2400",0,",,W,2400",5.9,",,W,2400",,,26,",,W",20,",,W",,,21,",,W",,,,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/16/17,7.83,",,W",,,0,",,W,2400",0,",,W,2400",5.1,",,W,2400",,,39,",,W",24,",,W",,,19.9,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/17/17,6.49,",,W",,,0,",,W,2400",0,",,W,2400",3.9,",,W,2400",,,47,",,W",29,",,W",,,15,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/18/17,8.72,",,W",,,0.08,",,W,2400",0,"T,,W,2400",3.1,",,W,2400",,,39,",,W",34,",,W",,,19.9,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/19/17,8.28,",,W",,,0,",,W,2400",0,",,W,2400",3.1,",,W,2400",,,47,",,W",34,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/20/17,5.14,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",,,52,",,W",33,",,W",,,14.1,",,W",,,,,,,,,,,,
